Month,Year,Leadership,Event Type,Parties Involved,Description
Sep,1997,"Bill Clinton, Kim Jong-il, Jiang Zemin, Kim Young-sam",Political Dialogue (Nuclear),"U.S., DPRK, China, ROK",Second preliminary talks on the Four-party Talks in New York.
Sep,1997,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"U.S., DPRK",During bilateral talks in New York the US informs North Korea that before unfreezing assets they plan to conduct a survey of the number and size of outstanding financial claims by US citizens against the DPRK.
Sep,1997,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"U.S., DPRK",Kim Kye-gwan and Charles Kartman talk in Beijing about high ranking North Korean defector Ambassador Chang Sung Kil and proposed four party talks.
Aug,1997,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"KEDO, DPRK","Stephen Bosworth executive director of KEDO attends groundbreaking ceremony for LWR in North Korea with other KEDO and DPRK officials."
Aug,1997,"Bill Clinton, Kim Jong-il, Kim Young-sam",Political Dialogue (Nuclear),"U.S., DPRK, ROK","US-ROK-DPRK talks at Columbia University to discuss 4-party talks (Kim Kye-gwan, Song Yong shik, Charles Kartman)."
Jul,1997,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"KEDO, DPRK","KEDO liason office opened in North Korea."
Jul,1997,"Bill Clinton, Kim Jong-il ",Political Dialogue,"U.S., DPRK","The US and North Korea have bilateral talks in New York on a broad range of issues including the agreed framework, the four-party talks, the issue of food aid."
Jun,1997,"Bill Clinton, Kim Jong-il, Jiang Zemin, Kim Young-sam",Political Dialogue (Nuclear),"U.S., DPRK, China, ROK",First trilateral deputy-ministerial consultation on the Four-party Talks in New York.
Jun,1997,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"KEDO, DPRK","KEDO and DPRK officials hold working-level talks to discuss technical issues for light water reactor project."
Jun,1997,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"U.S., DPRK",In the 2nd round of missile talks between the U.S. and North Korea no agreement is reached.
May,1997,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"KEDO, DPRK","KEDO and DPRK officials discuss construction process for the light water reactors in North Korea."
Apr,1997,"Bill Clinton, Kim Jong-il, Kim Young-sam",Political Dialogue (Nuclear),"U.S., DPRK, ROK","U.S.-ROK-DPRK talks. The meeting was attended by Charles Kartman, Sung Young shik, and Kim Kye-gwan."
Apr,1997,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"KEDO, DPRK","KEDO and DPRK officials discuss  construction process for the light water reactors in Pyongyang."
Mar,1997,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"KEDO, DPRK","KEDO and DPRK officials meet in New York to discuss indemnity protocol"
Mar,1997,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"U.S., DPRK",U.S.-DPRK hold working-level talks in New York to explore issues involving the Four-Party peace proposal.
Mar,1997,"Bill Clinton, Kim Jong-il, Kim Young-sam",Political Dialogue (Nuclear),"U.S., DPRK, ROK",U.S.-ROK-DPRK talks in New York
Jan,1997,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"KEDO, DPRK","KEDO executive director Stephen Bosworth and DPRK ambassador Ho Jong meet and sign two protocols for light water reactor project."
Jan,1997,"Hans Blix, Kim Jong-il ",Nuclear Dialogue,"IAEA, DPRK","IAEA and DPRK officials meet to discuss safeguards agreement."
Dec,1996,"Bill Clinton, Kim Jong-il ",Political Dialogue,"U.S., DPRK",Director of the State Department's Office of Korean Affairs Mark Minton and Director of American Affairs in the North Korean Foreign Ministry Yi Hyong Chol hold working-level talks in New York.
Nov,1996,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"KEDO, DPRK","KEDO and DPRK officials hold working-level talks in New York."
Sep,1996,"Hans Blix, Kim Jong-il ",Nuclear Dialogue,"IAEA, DPRK",The IAEA and North Korea have negotiations in Vienna over the safeguards agreement and inspections.
Aug,1996,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"KEDO, DPRK",KEDO and DPRK officials hold working-level talks to discuss technical issues and additional protocols for light water reactor project.
Jul,1996,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"KEDO, DPRK","KEDO and DPRK officials hold working-level talks to discuss technical issues and additional protocols for light water reactor project."
Jul,1996,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"KEDO, DPRK","KEDO and DPRK officials sign two technical protocols which were initialed at the end of negotiations on June 14."
Jun,1996,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"KEDO, DPRK","KEDO and DPRK officials hold negotiations on two technical protocols which are signed at the end of negotiations process on July 11."
Apr,1996,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"U.S., DPRK",U.S.-DPRK meet in Berlin for the first round of talks on missiles and non-proliferation.
Apr,1996,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"KEDO, DPRK","KEDO and DPRK officials hold working-level talks to discuss technical issues for light water reactor project."
Mar,1996,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"KEDO, DPRK","Stephen Bosworth KEDO executive director and DPRK officials meet to discuss light water reactor project."
Dec,1995,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"U.S., DPRK",Bilateral talks between North Korean ambassador-at-large Ho Jung and Deputy Assistant Secretary of State for East Asia and Pacific Thomas Hubbard in New York. The light-water reactor agreement between KEDO and North Korea is signed on December 15.
Oct,1995,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"KEDO, DPRK","KEDO and DPRK officials continue negotiations in New York on light water reactor supply agreement. The agreement is signed on December 15."
Oct,1995,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"KEDO, DPRK","Stephen Bosworth KEDO executive director and DPRK ambassador Ho Jong conduct negotiations in New York on light water reactor supply agreement."
Sep,1995,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"KEDO, DPRK","KEDO and DPRK officials hold working-level talks to discuss technical issues."
Sep,1995,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"U.S., DPRK",U.S. and DPRK officials meet in Pyongyang to discuss opening of future liasion offices.
Sep,1995,"Hans Blix, Kim Jong-il ",Nuclear Dialogue,"IAEA, DPRK",An IAEA team visits North Korea to negotiate expanding monitoring activities.
Sep,1995,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"KEDO, DPRK",The Korean Peninsula Energy Development Organization (KEDO) conducts talks with DPRK officials on supply of light-water reactors.
Aug,1995,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"KEDO, DPRK","KEDO and DPRK officials hold working-level talks to discuss technical issues."
Jun,1995,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"U.S., DPRK",U.S. and DPRK officials discuss spent fuel storage and waste management.
Jun,1995,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"U.S., DPRK",U.S. and DPRK officials negotiate and reach agreement on the delivery of heavy fuel oil shipments and verification measures.
May,1995,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"U.S., DPRK","After three weeks of negotiations in Kuala Lumpur, the U.S. and DPRK agree on the details of the provision of light water reactors."
Jun,1995,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"U.S., DPRK",During a meeting in Kuala Lumpur the U.S. and DPRK officials negotiate and come to an agreement on South Korea's role in KEDO.
Apr,1995,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"U.S., DPRK",U.S.-DPRK meet in Berlin to discuss the 1994 Agreed Framework.
Apr,1995,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"U.S., DPRK",U.S.-DPRK meet in Berlin to discuss the 1994 Agreed Framework.
Mar,1995,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"U.S., DPRK",U.S.-DPRK meet in Berlin to discuss the 1994 Agreed Framework and light water reactors.
Jan,1995,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"U.S., DPRK",U.S.-DPRK meet in Berlin to discuss delivery of light water reactors.
Jan,1995,"Hans Blix, Kim Jong-il ",Nuclear Dialogue,"IAEA, DPRK",Officials from North Korea and the IAEA continue consultations on the implemenation and verification of the nuclear freeze agreement.
Jan,1995,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"U.S., DPRK",U.S. and DPRK officials meet in Pyongyang to talk about spent fuel. 
Dec,1994,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"U.S., DPRK",Discussions on the planned exchange of liaison offices between U.S. and DPRK officials in Washington DC. A team of North Koreans visits Washington later in April 1995 to survey sites for future liasion office.
Nov,1994,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"U.S., DPRK",U.S. and DPRK delegations hold talks in Beijing on the supply of light-water reactor power plants to replace the DPRK's graphite-moderated reactors and related facilities.
Nov,1994,"Hans Blix, Kim Jong-il ",Nuclear Dialogue,"IAEA, DPRK",IAEA experts visit North Korea for talks on verification and monitoring of North Korea's nuclear reactors and related facilities.
Nov,1994,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"U.S., DPRK",U.S. experts visit North Korea to discuss spent fuel storage and waste management.
Sep,1994,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"U.S., DPRK","U.S. and DPRK delegations hold talks in Geneva to negotiate an overall resolution of the nuclear issue. Due to deadlock, the talks are suspended September 29 to October 5. The Agreed Framework is adopted on October 21."
Sep,1994,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"U.S., DPRK",The US and DPRK hold simultaneous expert-level discussions in Pyongyang (ending 9/14) and Berlin (ending 9/15) in accordance with the agreed statement of the third round of U.S.-DPRK high-level talks.
Aug,1994,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"U.S., DPRK",The US and DPRK continue the 3rd round of high-level talks in Geneva and sign an agreed statement for denuclearization.
Jul,1994,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"U.S., DPRK",The US and DPRK meet in New York to reset the date and arrange details for the third round of high-level talks.
Jul,1994,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"U.S., DPRK",The US and DPRK begin talks in Geneva but they are postponed only a few hours in upon news of the death of Kim Il sung.
Jun,1994,"Bill Clinton, Kim Il-sung",Political Dialogue (Nuclear),"U.S., DPRK",The US and DPRK meet in New York to discuss logistical arrangements for the coming third round of high-level talks.
Jun,1994,"Bill Clinton, Kim Il-sung",Political Dialogue (Nuclear),"U.S., DPRK","Former president Jimmy Carter visits North Korea at the invitation of Kim Il-sung. While in North Korea, Carter communicates a proposal to the Clinton administration in order to resume talks between the U.S. and DPRK on IAEA inspections and North Korea's nuclear program. North Korea also agrees to a joint effort to recover the remains of U.S. soldiers killed in the Korean War and plans for an inter-Korean summit. "
May,1994,"Hans Blix, Kim Il-sung",Nuclear Dialogue,"IAEA, DPRK","IAEA and DPRK hold meeting in Pyongyang on fuel monitoring. On May 27, Hans Blix sends letter to UN Secretary-General stating that the talks have failed. North Korea's discharges of spent fuel have made it difficult to measure the use of nuclear material in its 5MW reactor.  "
May,1994,"Bill Clinton, Kim Il-sung",Political Dialogue (Nuclear),"U.S., DPRK",The US and North Korea hold working-level talks in New York.
May,1994,"Bill Clinton, Kim Il-sung",Political Dialogue (Nuclear),"U.S., DPRK",The US and North Korea hold working-level talks in New York.
Apr,1994,"Bill Clinton, Kim Il-sung",Political Dialogue (Nuclear),"U.S., DPRK",The US and North Korea hold working-level talks in New York.
Feb,1994,"Bill Clinton, Kim Il-sung",Political Dialogue (Nuclear),"U.S., DPRK",The US and North Korea hold working-level talks in New York on IAEA inspections.
Feb,1994,"Hans Blix, Kim Il-sung",Nuclear Dialogue,"IAEA, DPRK",IAEA and DPRK agree on comprehensive list of safeguards measures to ensure that no nuclear material has been diverted from North Korea's nuclear facilities.
Jan,1994,"Hans Blix, Kim Il-sung",Nuclear Dialogue,"IAEA, DPRK",IAEA and DPRK officials hold a second round of working-level talks in Vienna on nuclear safeguards and inspections.
Jan,1994,"Hans Blix, Kim Il-sung",Nuclear Dialogue,"IAEA, DPRK",Talks between IAEA and DPRK in Vienna on nuclear safeguards.
Dec,1993,"Bill Clinton, Kim Il-sung",Political Dialogue (Nuclear),"U.S., DPRK",Deputy Assistant Secretary of State for East Asia and the Pacific Tom Hubbard meets with North Korean Ambassador Ho Jong at the UN headquarters in New York.
Sep,1993,"Bill Clinton, Kim Il-sung",Political Dialogue (Nuclear),"U.S., DPRK",U.S. and DPRK political counselors meet in Beijing for the 34th time.
Sep,1993,"Hans Blix, Kim Il-sung",Political Dialogue (Nuclear),"IAEA, DPRK",Discussion between IAEA and DPRK in North Korea regarding nuclear safeguards implementation.
Aug,1993,"Bill Clinton, Kim Il-sung",Political Dialogue (Nuclear),"U.S., DPRK",Working-level talks between DPRK and U.S. in New York.
Jul,1993,"Bill Clinton, Kim Il-sung",Political Dialogue (Nuclear),"U.S., DPRK","After a series of high-level meetings in Geneva between US and DPRK delegations led by U.S. Assistant Secretary of State Robert Gallucci and Vice Minister of Foreign Affairs Kang Sok Chu, respectively, the two sides agree on a plan to replace North Korean reactors with light water reactors."
Jun,1993,"Bill Clinton, Kim Il-sung",Political Dialogue (Nuclear),"U.S., DPRK","U.S.-DPRK high-level meetings at the UN mission in New York end with a joint statement agreeing on security assurances, a nuclear-free peninsula, the peaceful reunification of Korea, and the DPRK suspending withdrawal from NPT."
May,1993,"Bill Clinton, Kim Il-sung",Political Dialogue (Nuclear),"U.S., DPRK",A working-level meeting is held in Beijing between the North Korean and the American political counselors.
Mar,1993,"Bill Clinton, Kim Il-sung",Political Dialogue (Nuclear),"U.S., DPRK","A working-level meeting is held in Beijing between the North Korean and the American political counselors. North Korea had announced its intent to withdraw from the Nuclear Nonproliferation Treaty on March 12, 1993."
Feb,1993,"Hans Blix, Kim Il-sung",Nuclear Dialogue,"IAEA, DPRK",Further discussions between IAEA and DPRK on original nuclear material declaration. North Korea refuses special inspections. 
Jan,1993,"Hans Blix, Kim Il-sung",Nuclear Dialogue,"IAEA, DPRK",Discussions in Pyongyang between IAEA and DPRK on discrepancies in nuclear material declaration.
Nov,1992,"Hans Blix, Kim Il-sung",Nuclear Dialogue,"IAEA, DPRK",High-level consultations between DPRK and IAEA on discrepancies in North Korea's initial declaration of nuclear material given to IAEA in May 1992.
Jan,1992,"Hans Blix, Kim Il-sung",Nuclear Dialogue,"IAEA, DPRK",North Korea and IAEA sign a nuclear safeguards agreement allowing inspections to begin in June 1992.
Jan,1992,"George H.W. Bush, Kim Il-sung",Political Dialogue (Nuclear),"U.S., DPRK",North Korea's Kim Yong Sun and Undersecretary of State Arnold L. Kanter meet in New York.
May,1990,"George H.W. Bush, Kim Il-sung",Political Dialogue ,"U.S., DPRK",Ninth round of U.S.-DPRK diplomatic talks in Beijing.
Apr,1990,"George H.W. Bush, Kim Il-sung",Political Dialogue,"U.S., DPRK","The US and DPRK hold diplomatic talks in Beijing discussing the return of remains of U.S. soldiers who fought in the Korean War, improvement in U.S.-DPRK relations, and improvement in ROK-DPRK relations."
Jan,1990,"George H.W. Bush, Kim Il-sung",Political Dialogue ,"U.S., DPRK",Representatives from the U.S. and DPRK meet in discuss security issues in Beijing.19
